,link,title,canal_nome,canal_link,view_counts,video_date,like,dislike
1427,https://www.youtube.com/watch?v=nl7kDPYD20A,How to Get Started with Machine Learning & AI,#AI,https://www.youtube.com/hashtag/ai,255776.0,29 de set. de 2019,"12.021 marcações ""Gostei""","159 marcações ""Não gostei"""
1428,https://www.youtube.com/watch?v=nmcBsXDYTUQ,London Bike ML Prediction Project,Lucia Page-Harley,https://www.youtube.com/channel/UCiK-0Np1apLymUnsrt7i4fA,8.0,10 de mar. de 2021,"2 marcações ""Gostei""","Sem marcações ""Não gostei"""
1429,https://www.youtube.com/watch?v=nq8la9qknx8,"Class 2: Artificial Intelligence, Machine Learning, and Deep Learning",MIT OpenCourseWare,https://www.youtube.com/channel/UCEBb1b_L6zDS3xTUrIALZOw,8524.0,27 de out. de 2020,"178 marcações ""Gostei""","2 marcações ""Não gostei"""
1430,https://www.youtube.com/watch?v=nqMM6rngNCA,Create Your First Kaggle Kernel Titanic Predictions,PyCaret,https://www.youtube.com/channel/UCxA1YTYJ9BEeo50lxyI_B3g,1989.0,25 de abr. de 2020,"62 marcações ""Gostei""","Sem marcações ""Não gostei"""
1431,https://www.youtube.com/watch?v=nu_ualgR4sM,How good is machine learning at copying the human voice?,Scientific American,https://www.youtube.com/channel/UC_xYMXx_-mAzheKyEtwtCAQ,8376.0,9 de dez. de 2020,"174 marcações ""Gostei""","17 marcações ""Não gostei"""
1432,https://www.youtube.com/watch?v=nx489B78ZJ4,يعني إيه علم البيانات Data Science | #إسأل_مصطفى,#إسأل_مصطفى,https://www.youtube.com/hashtag/%D8%A5%D8%B3%D8%A3%D9%84_%D9%85%D8%B5%D8%B7%D9%81%D9%89,25014.0,26 de abr. de 2020,"1.125 marcações ""Gostei""","16 marcações ""Não gostei"""
1433,https://www.youtube.com/watch?v=nxPpnHeWDek,Curso Introducción al Machine Learning con Kaggle - [02] - Qué es Kaggle?,G Coding Academy,https://www.youtube.com/channel/UCs87sSRsCqs9CYlgRUlPcww,1294.0,,"50 marcações ""Gostei""","2 marcações ""Não gostei"""
1434,https://www.youtube.com/watch?v=nxijs7_VlGA,Cost Function In Machine Learning With Example | Machine Learning Tutorial | Simplilearn,#CostFunctionMachineLearning,https://www.youtube.com/hashtag/costfunctionmachinelearning,3124.0,18 de nov. de 2020,"59 marcações ""Gostei""","3 marcações ""Não gostei"""
1435,https://www.youtube.com/watch?v=o-jPkvZIQNE,Coronavirus Outbreak Prediction Using Machine Learning | April Update | Simplilearn,#MachineLearning,https://www.youtube.com/hashtag/machinelearning,11433.0,,"275 marcações ""Gostei""","9 marcações ""Não gostei"""
1436,https://www.youtube.com/watch?v=o1bSIp65ThE,Data Science in Marketing,Columbia Business School,https://www.youtube.com/channel/UCwWeR7z1tDD-SFkWjQrUrQA,1461.0,30 de nov. de 2020,"38 marcações ""Gostei""","1 marcação ""Não gostei"""
